Ville 1;Ville 2;Distance (km)
Paris;Lyon;393
Lyon;Paris;393
Paris;Marseille;660
Marseille;Paris;660
Paris;Bordeaux;499
Bordeaux;Paris;499
Paris;Toulouse;588
Toulouse;Paris;588
Paris;Lille;204
Lille;Paris;204
Paris;Strasbourg;397
Strasbourg;Paris;397
Paris;Rennes;307
Rennes;Paris;307
Lyon;Marseille;277
Marseille;Lyon;277
Lyon;Bordeaux;436
Bordeaux;Lyon;436
Lyon;Toulouse;359
Toulouse;Lyon;359
Lyon;Lille;559
Lille;Lyon;559
Lyon;Nantes;516
Nantes;Lyon;516
Lyon;Nice;297
Nice;Lyon;297
Lyon;Rennes;560
Rennes;Lyon;560
Marseille;Bordeaux;506
Bordeaux;Marseille;506
Marseille;Toulouse;319
Toulouse;Marseille;319
Marseille;Nantes;694
Nantes;Marseille;694
Marseille;Strasbourg;617
Strasbourg;Marseille;617
Marseille;Nice;159
Nice;Marseille;159
Marseille;Rennes;770
Rennes;Marseille;770
Bordeaux;Lille;700
Lille;Bordeaux;700
Bordeaux;Nantes;274
Nantes;Bordeaux;274
Bordeaux;Rennes;373
Rennes;Bordeaux;373
Toulouse;Nantes;465
Nantes;Toulouse;465
Toulouse;Rennes;556
Rennes;Toulouse;556
Lille;Nantes;507
Nantes;Lille;507
Lille;Strasbourg;407
Strasbourg;Lille;407
Lille;Rennes;460
Rennes;Lille;460
Nantes;Rennes;107
Rennes;Nantes;107
Strasbourg;Nice;592
Nice;Strasbourg;592
Bordeaux;Dax;154
Dax;Bordeaux;154
Toulouse;Dax;285
Dax;Toulouse;285
Toulouse;Pau;193
Pau;Toulouse;193
Dax;Pau;88
Pau;Dax;88
Toulouse;Montpellier;242
Montpellier;Toulouse;242
Montpellier;Marseille;172
Marseille;Montpellier;172
Montpellier;Nimes;54
Nimes;Montpellier;54
Nimes;Nice;278
Nice;Nimes;278
Lyon;Grenoble;106
Grenoble;Lyon;106
Dunkerque;Lille;79
Lille;Dunkerque;79
Strasbourg;Dunkerque;598
Dunkerque;Strasbourg;598
Bordeaux;Limoges;221
Limoges;Bordeaux;221
Limoges;Lyon;413
Lyon;Limoges;413
Le Havre;Rennes;274
Rennes;Le Havre;274
Strasbourg;Mulhouse;115
Mulhouse;Strasbourg;115
Mulhouse;Lyon;381
Lyon;Mulhouse;381
