Ville 1;Ville 2;Distance (km)
Paris;Lyon;393
Lyon;Paris;393
Paris;Marseille;660
Marseille;Paris;660
Paris;Bordeaux;499
Bordeaux;Paris;499
Paris;Toulouse;588
Toulouse;Paris;588
Paris;Lille;204
Lille;Paris;204
Paris;Strasbourg;397
Strasbourg;Paris;397
Paris;Rennes;307
Rennes;Paris;307
Lyon;Marseille;277
Marseille;Lyon;277
Lyon;Toulouse;359
Toulouse;Lyon;359
Lyon;Lille;559
Lille;Lyon;559
Lyon;Nantes;516
Nantes;Lyon;516
Lyon;Rennes;560
Rennes;Lyon;560
Marseille;Nice;159
Nice;Marseille;159
Bordeaux;Nantes;274
Nantes;Bordeaux;274
Toulouse;Nantes;465
Nantes;Toulouse;465
Lille;Nantes;507
Nantes;Lille;507
Lille;Strasbourg;407
Strasbourg;Lille;407
Nantes;Rennes;107
Rennes;Nantes;107
Bordeaux;Dax;154
Dax;Bordeaux;154
Toulouse;Dax;285
Dax;Toulouse;285
Toulouse;Pau;193
Pau;Toulouse;193
Dax;Pau;88
Pau;Dax;88
Toulouse;Montpellier;242
Montpellier;Toulouse;242
Montpellier;Marseille;172
Marseille;Montpellier;172
Montpellier;Nimes;54
Nimes;Montpellier;54
Lyon;Grenoble;106
Grenoble;Lyon;106
Dunkerque;Lille;79
Lille;Dunkerque;79
Bordeaux;Limoges;221
Limoges;Bordeaux;221
Limoges;Lyon;413
Lyon;Limoges;413
Le Havre;Rennes;274
Rennes;Le Havre;274
Strasbourg;Mulhouse;115
Mulhouse;Strasbourg;115
Mulhouse;Lyon;381
Lyon;Mulhouse;381
Brest;Nantes;300
Nantes;Brest;300
Brest;Rennes;242
Rennes;Brest;242
Troyes;Paris;183
Paris;Troyes;183
Troyes;Mulhouse;309
Mulhouse;Troyes;309
Perpignan;Toulouse;207
Toulouse;Perpignan;207
